TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,FGA,FG_PCT,FG3A,FG3_PCT,EFG_PCT,TS_PCT,PACE,POSS,OFF_RATING,DEF_RATING,NET_RATING,SEASON,FGA_PER_POSS
1610612752,New York Knicks,82,17,65,0.207,6726,0.428,1614,0.347,0.47,0.508,92.06,7618,98.9,109.0,-10.1,2014-15,0.8829088999737464
1610612760,Oklahoma City Thunder,82,45,37,0.549,7119,0.447,1864,0.339,0.492,0.532,96.61,7988,106.7,104.6,2.1,2014-15,0.8912118177265899
1610612753,Orlando Magic,82,25,57,0.305,6792,0.453,1598,0.347,0.494,0.524,94.51,7773,101.0,106.8,-5.9,2014-15,0.8737939019683519
1610612755,Philadelphia 76ers,82,18,64,0.22,6777,0.408,2160,0.32,0.459,0.494,96.45,7950,94.9,103.9,-9.0,2014-15,0.8524528301886792
1610612756,Phoenix Suns,82,39,43,0.476,7038,0.452,2048,0.341,0.501,0.537,97.2,8058,104.2,105.3,-1.1,2014-15,0.8734177215189873
1610612757,Portland Trail Blazers,82,51,31,0.622,7049,0.45,2231,0.362,0.508,0.544,95.06,7868,107.1,102.8,4.3,2014-15,0.8959074733096085
1610612758,Sacramento Kings,82,29,53,0.354,6617,0.455,1350,0.341,0.49,0.542,96.16,7952,104.5,108.2,-3.7,2014-15,0.8321177062374245
1610612759,San Antonio Spurs,82,55,27,0.671,6854,0.468,1847,0.367,0.517,0.555,94.45,7860,107.6,101.4,6.3,2014-15,0.8720101781170484
1610612761,Toronto Raptors,82,49,33,0.598,6829,0.455,2060,0.352,0.508,0.553,93.46,7736,110.2,107.1,3.1,2014-15,0.8827559462254395
1610612762,Utah Jazz,82,38,44,0.463,6492,0.447,1781,0.343,0.494,0.531,91.1,7486,104.2,104.1,0.1,2014-15,0.8672188084424258
1610612764,Washington Wizards,82,46,36,0.561,6790,0.462,1381,0.36,0.499,0.534,94.29,7844,103.0,102.4,0.6,2014-15,0.8656297807241203
1610612737,Atlanta Hawks,82,48,34,0.585,6923,0.458,2326,0.35,0.516,0.552,97.63,8059,104.6,100.8,3.9,2015-16,0.8590395830748232
1610612738,Boston Celtics,82,48,34,0.585,7318,0.439,2142,0.335,0.488,0.531,99.43,8191,105.8,102.5,3.3,2015-16,0.8934196068856062
1610612751,Brooklyn Nets,82,21,61,0.256,6920,0.453,1508,0.352,0.492,0.527,96.12,7903,102.4,109.7,-7.4,2015-16,0.8756168543591042
1610612766,Charlotte Hornets,82,48,34,0.585,6922,0.439,2410,0.362,0.502,0.545,96.24,7966,106.4,103.7,2.7,2015-16,0.8689430077830781
1610612741,Chicago Bulls,82,42,40,0.512,7170,0.441,1753,0.371,0.487,0.526,96.6,8008,104.1,105.5,-1.4,2015-16,0.8953546453546454
1610612739,Cleveland Cavaliers,82,57,25,0.695,6888,0.46,2428,0.362,0.524,0.558,93.82,7764,110.2,103.9,6.3,2015-16,0.8871715610510046
1610612742,Dallas Mavericks,82,42,40,0.512,6900,0.444,2342,0.344,0.502,0.544,95.34,7950,105.5,105.9,-0.4,2015-16,0.8679245283018868
1610612743,Denver Nuggets,82,33,49,0.402,7003,0.442,1943,0.338,0.489,0.531,96.34,7963,104.9,108.2,-3.3,2015-16,0.879442421198041
1610612765,Detroit Pistons,82,44,38,0.537,7087,0.439,2148,0.345,0.491,0.522,95.75,7942,105.3,104.9,0.3,2015-16,0.8923444976076556
1610612744,Golden State Warriors,82,73,9,0.89,7159,0.487,2592,0.416,0.563,0.593,100.24,8303,113.5,102.8,10.6,2015-16,0.8622184752499097
1610612745,Houston Rockets,82,41,41,0.5,6847,0.452,2533,0.347,0.516,0.553,98.42,8139,107.3,107.3,0.0,2015-16,0.8412581398206168
1610612754,Indiana Pacers,82,45,37,0.549,6985,0.45,1889,0.351,0.497,0.536,97.35,8068,103.8,102.2,1.6,2015-16,0.865765989092712
1610612746,LA Clippers,82,53,29,0.646,6759,0.465,2190,0.364,0.524,0.556,96.81,7995,107.2,102.7,4.5,2015-16,0.8454033771106941
1610612747,Los Angeles Lakers,82,17,65,0.207,6956,0.414,2016,0.317,0.46,0.509,96.55,7930,100.7,110.3,-9.7,2015-16,0.8771752837326607
